Id,Age,Genre,Education,Autre,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
1,35-44,Female,Certificat ou diplome professionel,UK,Mixed-Blanc/Asiatique ,39,36,42,37,42,18.83%,7.00%,5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
2,25-34,Male,Doctorat,UK,Blanc,29,52,55,48,41,16.29%,11.83%,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0
3,35-44,Male,Certificat ou diplome professionel,UK,Blanc,31,45,40,32,34,14.64%,13.21%,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0
4,18-24,Female,Matrise,UK,Blanc,34,34,46,47,46,14.64%,7.00%,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0
5,35-44,Female,Doctorat,UK,Blanc,43,28,43,41,50,18.83%,11.83%,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0
6,65+,Female,À quitté l'école à 18 ans,Canada,Blanc,29,38,35,55,52,14.64%,4.62%,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0
7,45-54,Male,Matrise,USA,Blanc,31,32,43,41,48,18.83%,11.62%,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
8,35-44,Male,À quitté l'école à 16 ans,UK,Blanc,24,52,40,41,52,13.63%,11.19%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9,35-44,Female,Certificat ou diplome professionel,Canada,Blanc,42,55,39,48,49,14.64%,4.62%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
10,55-64,Male,Matrise,UK,Blanc,33,40,36,47,43,14.64%,8.97%,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
11,25-34,Female,Université,UK,Blanc,26,45,38,38,53,13.63%,11.62%,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1
12,45-54,Male,Collège ou université aucun certificat ou diplome,Autre,Blanc,24,40,47,30,38,11.46%,11.14%,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0
13,55-64,Female,Université,UK,Blanc,56,41,49,32,36,7.85%,11.62%,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0
14,55-64,Female,Certificat ou diplome professionel,Canada,Blanc,28,45,46,49,59,16.29%,8.97%,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,55-64,Female,Certificat ou diplome professionel,UK,Blanc,27,49,49,39,52,7.85%,11.19%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
16,55-64,Male,Université,UK,Blanc,19,29,35,36,49,16.29%,11.19%,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0
17,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,22,34,34,45,47,18.83%,3.77%,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0
18,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,41,31,44,40,31,14.64%,8.97%,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0
19,55-64,Male,Université,Australie,Blanc,49,39,45,30,30,16.29%,11.83%,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0
20,35-44,Male,Certificat ou diplome professionel,UK,Blanc,32,27,29,30,47,14.64%,3.77%,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0
21,45-54,Male,Certificat ou diplome professionel,UK,Blanc,28,45,51,53,33,13.63%,11.83%,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0
22,65+,Male,À quitté l'école avant 16 ans,UK,Blanc,25,43,38,39,53,18.83%,7.00%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
23,45-54,Male,Université,UK,Blanc,40,33,40,50,35,16.29%,11.62%,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,51,16,37,45,34,14.64%,4.62%,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1
25,55-64,Male,Université,UK,Blanc,34,44,54,48,51,18.83%,11.19%,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0
26,45-54,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,28,37,37,49,42,18.83%,13.21%,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0
27,55-64,Female,À quitté l'école à 18 ans,Canada,Blanc,35,28,24,38,46,13.63%,4.62%,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
28,35-44,Male,Université,UK,Blanc,41,31,46,43,25,5.52%,13.21%,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0
29,35-44,Female,Matrise,UK,Blanc,36,29,41,45,50,13.63%,11.19%,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
30,45-54,Male,Doctorat,UK,Blanc,24,51,52,49,53,18.83%,11.19%,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
31,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,39,34,37,33,37,14.64%,11.62%,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0
32,35-44,Female,À quitté l'école à 16 ans,Autre,Blanc,25,34,47,39,42,14.64%,8.97%,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0
33,35-44,Male,Université,UK,Blanc,28,31,46,46,42,13.63%,8.97%,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0
34,18-24,Male,Université,UK,Blanc,40,38,48,51,41,16.29%,4.62%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
35,35-44,Male,Université,USA,Autre ,46,44,52,23,36,11.46%,5.46%,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1
36,65+,Male,À quitté l'école avant 16 ans,UK,Blanc,33,34,28,41,36,11.46%,4.62%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
37,35-44,Male,Université,UK,Blanc,33,36,45,43,30,18.83%,11.83%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
38,55-64,Male,À quitté l'école avant 16 ans,USA,Blanc,39,42,53,44,37,11.46%,11.19%,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0
39,45-54,Male,Université,UK,Blanc,22,48,48,43,47,18.83%,8.97%,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0
40,65+,Female,Certificat ou diplome professionel,UK,Blanc,33,33,38,38,45,14.64%,11.83%,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0
41,35-44,Male,Matrise,UK,Blanc,36,37,46,29,47,16.29%,11.62%,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
42,35-44,Female,Université,UK,Blanc,44,40,53,54,39,18.83%,11.83%,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0
43,35-44,Male,Matrise,UK,Blanc,34,33,37,43,37,18.83%,11.19%,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0
44,35-44,Male,Certificat ou diplome professionel,UK,Blanc,27,36,44,42,34,18.83%,11.83%,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0
45,25-34,Male,Université,UK,Autre ,26,49,49,51,48,18.83%,11.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
46,25-34,Female,Université,UK,Blanc,31,43,54,49,52,14.64%,3.77%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
47,45-54,Female,Collège ou université aucun certificat ou diplome,Canada,Blanc,39,44,38,45,51,16.29%,8.97%,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1
48,45-54,Male,Matrise,UK,Blanc,19,45,48,49,49,1.06%,7.00%,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
49,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,37,34,44,42,37,13.63%,8.97%,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0
50,25-34,Female,Matrise,UK,Mixed-Blanc/Noir,44,36,32,37,44,11.46%,11.14%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0
51,35-44,Male,Matrise,UK,Blanc,46,39,45,35,42,16.29%,8.97%,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0
52,45-54,Male,Certificat ou diplome professionel,Canada,Blanc,47,46,42,37,27,5.52%,5.46%,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0
53,55-64,Female,Université,UK,Blanc,34,40,36,45,36,11.46%,4.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
54,45-54,Male,Matrise,UK,Blanc,23,39,53,45,44,18.83%,11.83%,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0
55,55-64,Male,À quitté l'école à 16 ans,UK,Blanc,36,47,42,36,33,7.85%,11.14%,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0
56,55-64,Female,Certificat ou diplome professionel,UK,Blanc,36,35,38,40,39,14.64%,3.77%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
57,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,36,40,34,43,44,14.64%,4.62%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
58,25-34,Female,Université,UK,Blanc,30,44,32,45,47,16.29%,11.19%,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
59,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,38,44,46,40,39,5.52%,11.14%,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1
60,45-54,Male,Université,UK,Blanc,31,31,37,32,41,14.64%,4.62%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
61,25-34,Female,Doctorat,UK,Blanc,49,42,48,41,40,14.64%,11.62%,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
62,45-54,Male,Matrise,UK,Asiatique ,18,50,54,44,50,14.64%,7.00%,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1
63,25-34,Male,Université,UK,Blanc,30,30,33,34,45,14.64%,7.00%,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0
64,45-54,Male,Université,UK,Blanc,46,38,41,39,42,14.64%,7.00%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
65,45-54,Male,Doctorat,UK,Blanc,22,43,53,40,48,14.64%,11.19%,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0
66,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,43,43,40,50,46,11.46%,11.83%,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
67,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,26,35,38,51,45,16.29%,7.00%,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
68,25-34,Male,Matrise,UK,Blanc,32,38,53,37,41,10.34%,11.83%,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0
69,35-44,Male,Certificat ou diplome professionel,Autre,Blanc,27,40,48,42,40,18.83%,11.62%,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0
70,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,35,35,34,45,42,14.64%,8.97%,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0
71,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,32,38,47,30,40,11.46%,11.19%,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1
