Id,Age,Genre,Education,Pays,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
363,35-44,Female,Certificat ou diplome professionel,UK,Blanc,42 ,44,53,49,50,10.34% ,13.21% ,5,5,2,4,6,3,4,3,2,3,2,2,0,1,2,1,6,0,2,
364,45-54,Male,Université,UK,Blanc,40 ,42,45,47,45,16.29% ,11.19% ,2,1,1,2,6,2,5,1,2,1,2,0,0,1,2,1,6,0,1,
365,45-54,Female,Certificat ou diplome professionel,UK,Blanc,48,39,37,48,45,14.64% ,3.77% ,5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
366,35-44,Female,Doctorat,UK,Blanc,40 ,39,47,43,38,18.83% ,11.83% ,5,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0,
367,45-54,Male,Certificat ou diplome professionel,UK,Asiatique ,34 ,40,42,40,32,14.64% ,4.62% ,5,0,0,1,6,1,4,0,0,0,0,0,0,0,0,0,2,0,0,
368,35-44,Female,Université,UK,Asiatique ,26,43,45,42,46,14.64% ,7.00% ,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
369,45-54,Female,Université,UK,Blanc,25,43,48,46,44,13.63% ,11.83% ,5,0,0,5,6,2,5,0,0,0,0,0,0,1,2,1,2,0,0,
370,25-34,Male,Certificat ou diplome professionel,UK,Blanc,35 ,33,34,44,47,18.83% ,8.97% ,6,1,0,0,6,6,5,1,0,0,0,0,0,0,0,0,6,0,0,
371,25-34,Female,Université,UK,Blanc,48,42,48,48,37,13.63% ,11.83% ,3,2,2,5,6,2,5,2,2,1,2,0,0,1,0,0,6,0,2,
372,18-24,Male,À quitté l'école à 18 ans,Canada,Blanc,38 ,42,47,37,40,16.29% ,11.62% ,5,2,0,0,6,6,0,0,0,2,0,0,2,2,0,3,6,0,0,
373,35-44,Female,Université,UK,Blanc,46 ,54,56,34,45,7.85% ,5.46% ,5,0,0,3,6,2,6,1,0,2,0,0,0,0,0,1,6,0,0,
374,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,45,46,38 ,47,44,18.83% ,13.21% ,5,2,2,0,4,3,5,3,0,2,0,3,3,2,0,2,5,0,0,
375,45-54,Male,Université,UK,Blanc,32 ,27,51,37,43,18.83% ,11.19% ,6,1,1,0,6,4,5,1,0,3,0,0,1,1,0,2,0,0,0,
376,55-64,Female,Matrise,UK,Blanc,33 ,48,52,53,49,16.29% ,7.00% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
377,65+,Male,Certificat ou diplome professionel,UK,Blanc,37 ,41,48,34,51,14.64% ,8.97% ,6,0,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
378,45-54,Female,Matrise,UK,Blanc,27,40,41,44,48,16.29% ,13.21% ,5,0,0,0,6,2,5,1,0,0,0,0,0,0,0,0,2,0,0,
379,25-34,Female,Université,UK,Blanc,31 ,36,34,46,38,16.29% ,7.00% ,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,
380,25-34,Male,Matrise,Autre,Blanc,44 ,33,50,47,47,11.46% ,11.83% ,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
381,45-54,Female,Certificat ou diplome professionel,UK,Blanc,44 ,37,51,43,44,18.83% ,11.83% ,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,
382,35-44,Male,Université,UK,Blanc,31 ,47,44,39,43,13.63% ,11.19% ,2,2,2,2,6,2,5,2,2,2,0,2,0,1,2,2,2,0,0,
383,35-44,Male,À quitté l'école à 16 ans,Autre,Blanc,32 ,36,38 ,37,36,7.85% ,11.19% ,4,1,1,0,6,6,6,1,0,1,0,0,0,1,0,1,6,0,1,
384,35-44,Female,Matrise,Autre,Blanc,28,41,45,41,47,13.63% ,13.21% ,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,
385,45-54,Female,Université,UK,Blanc,37 ,38,43,50,47,1.06% ,11.19% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
386,45-54,Female,Université,UK,Noir,33 ,41,39,48,46,13.63% ,4.62% ,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
387,25-34,Male,Certificat ou diplome professionel,UK,Blanc,30 ,37,29,44,39,16.29% ,11.83% ,5,0,2,0,6,2,6,2,0,2,0,0,0,2,0,0,6,0,0,
388,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,19,43,38 ,53,46,16.29% ,11.19% ,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
389,25-34,Male,Université,UK,Noir,24,42,42,34,54,16.29% ,11.62% ,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
390,35-44,Male,Certificat ou diplome professionel,UK,Blanc,37 ,38,47,42,40,18.83% ,8.97% ,3,0,0,0,6,1,6,0,0,0,0,0,0,0,1,0,6,0,0,
391,25-34,Male,Doctorat,UK,Blanc,30 ,42,45,44,46,14.64% ,4.62% ,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,4,0,0,
392,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,29 ,37,48,44,42,13.63% ,8.97% ,2,0,1,3,6,1,6,1,0,0,0,0,0,0,3,0,6,0,0,
393,25-34,Female,Université,UK,Blanc,42 ,40,47,45,43,16.29% ,11.19% ,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,
